fid;P50
457;0.817467
458;0.473663
459;0.181024
460;0.032131
461;0.259655
462;0.447226
463;0.52805
464;0.522088
465;0.715838
466;1.013051
467;1.362883
468;1.789375
469;2.215905
470;2.476529
471;2.760001
472;2.978796
473;2.827127
474;2.755084
475;2.562832
476;2.42849
477;2.161728
478;1.831924
479;1.669306
480;2.178155
481;4.764535
482;6.031516
483;7.562983
484;9.21086
485;10.396311
486;11.67045
487;12.557695
488;14.115469
489;15.963813
490;16.953474
491;17.382217
492;17.675026
493;18.39805
494;18.793222
495;19.741407
496;19.403807
497;18.9666
498;18.596613
499;18.417543
500;17.724279
501;16.767859
502;17.399759
503;16.403395
504;15.440452
505;9.131922
506;0.974168
507;0.932642
508;0.832946
509;0.853616
510;0.863597
511;5.000253
512;4.101349
513;1.981366
514;1.768611
515;1.670268
516;1.743531
517;1.514038
518;1.610538
519;1.449026
520;1.51189
521;1.47138
522;1.385768
523;1.337811
524;1.430627
525;1.386254
526;1.362292
527;1.279014
528;1.219538
529;1.023012
530;0.845525
531;0.736952
532;0.516235
533;0.646582
534;0.87672
535;1.097196
536;1.132887
537;1.16905
538;1.159631
539;1.221686
540;1.159542
541;1.044241
542;0.734643
543;0.44105
544;0.2033
545;0.17073
546;0.168022
547;0.058283
548;0.451963
549;0.68106
550;0.855719
551;0.869139
552;1.166649
553;1.393502
554;1.721541
555;2.02655
556;2.347892
557;2.539532
558;2.705802
559;2.901188
560;2.656221
561;2.54042
562;2.410337
563;2.121576
564;1.856661
565;1.566671
566;1.423299
567;2.07649
568;5.336681
569;6.657885
570;8.400954
571;10.749879
572;12.292892
573;13.258832
574;14.150102
575;15.27322
576;17.283867
577;18.836372
578;19.471838
579;20.567574
580;21.020636
581;21.268835
582;21.797941
583;20.57773
584;20.44499
585;19.392059
586;18.596014
587;18.208834
588;17.925009
589;17.790068
590;16.756199
591;16.946442
592;13.105695
593;0.895091
594;0.875571
595;0.861387
596;0.796834
597;0.589894
598;0.169794
599;0.042379
600;0.145346
601;0.097312
602;2.005529
603;1.924567
604;1.874665
605;1.716694
606;1.706893
607;1.589681
608;1.440824
609;1.448161
610;1.355803
611;1.445645
612;1.408455
613;1.399875
614;1.408338
615;1.440682
616;1.303638
617;1.21343
618;1.197251
619;1.091684
620;0.921924
621;0.796207
622;0.670973
623;0.590301
624;0.683783
625;0.870607
626;1.065212
627;1.161382
628;1.192485
629;1.181101
630;1.257339
631;1.246186
632;1.20914
633;1.013309
634;0.724495
635;0.43741
636;0.325614
637;0.380167
638;0.444163
639;0.069318
640;0.547945
641;0.877632
642;1.081286
643;1.251039
644;1.47639
645;1.630046
646;1.890588
647;2.131681
648;2.222332
649;2.558225
650;2.742351
651;2.746836
652;2.594974
653;2.463938
654;2.277814
655;1.948252
656;1.709348
657;1.37202
658;1.597036
659;3.4443
660;5.764368
661;7.600924
662;9.593022
663;12.076911
664;14.713715
665;16.339596
666;16.799662
667;17.323753
668;19.420588
669;20.38854
670;21.895748
671;23.237541
672;23.187359
673;23.400696
674;23.392393
675;22.404716
676;21.884392
677;19.854336
678;18.846813
679;18.269165
680;18.211046
681;17.745115
682;17.100622
683;13.738515
684;7.753069
685;8.629395
686;0.793118
687;0.790365
688;0.721057
689;0.482869
690;0.265634
691;0.263342
692;0.345273
693;0.28155
694;0.142672
695;2.272924
696;1.98178
697;1.843965
698;2.021202
699;1.892716
700;1.814613
701;1.583514
702;1.617588
703;1.514871
704;1.467659
705;1.380903
706;1.266161
707;1.336068
708;1.357081
709;1.357539
710;1.451388
711;1.40896
712;1.262625
713;1.132365
714;1.042657
715;0.972387
716;0.888144
717;0.750929
718;0.644939
719;0.621421
720;0.732421
721;0.919837
722;1.061317
723;1.198661
724;1.259128
725;1.263268
726;1.181777
727;1.136661
728;1.344824
729;2.515031
730;2.228031
731;0.651626
732;0.426167
733;0.431226
734;0.611985
735;0.081318
736;0.649795
737;1.087684
738;1.383514
739;1.584341
740;1.696037
741;1.782666
742;1.937395
743;2.074103
744;2.129693
745;2.349665
746;2.545017
747;2.553465
748;2.500543
749;2.265172
750;1.99585
751;0.323012
752;0.249805
753;0.296263
754;0.417224
755;2.52888
756;2.476574
757;2.57508
758;2.639026
759;2.669895
760;2.411921
761;2.181548
762;2.171314
763;2.112059
764;2.059599
765;1.982599
766;1.785938
767;1.516268
768;1.594949
769;1.688413
770;1.579538
771;1.536594
772;1.441383
773;1.485212
774;1.517965
775;1.348485
776;1.44762
777;1.312139
778;1.378572
779;1.461756
780;1.465551
781;1.386449
782;1.277208
783;1.170192
784;0.969045
785;0.873269
786;0.882919
787;0.945645
788;1.004334
789;0.963438
790;0.998225
791;1.118399
792;1.222923
793;1.338298
794;1.430164
795;1.315709
796;1.102618
797;0.979624
798;0.948187
799;0.985122
800;0.932376
801;0.494509
802;0.011614
803;0.075189
804;0.015334
805;0.229587
806;1.054093
807;1.832381
808;2.26286
809;3.990046
810;4.159613
811;3.035867
812;1.611527
813;1.805117
814;2.18411
815;2.465767
816;2.499215
817;2.365372
818;2.134282
819;1.740952
820;1.309861
821;1.116812
822;1.034969
823;1.145579
824;2.197487
825;6.73411
826;9.725154
827;13.094778
828;16.994482
829;20.659744
830;22.330664
831;22.952925
832;23.507723
833;24.246
834;25.460146
835;26.024143
836;26.095728
837;25.743849
838;25.955908
839;23.97077
840;23.909615
841;25.04471
842;25.528145
843;23.45863
844;21.059502
845;18.482306
846;12.797273
847;0.838381
848;0.762797
849;0.692467
850;0.593187
851;0.476074
852;10.461483
853;0.325474
854;0.355366
855;0.416131
856;0.406575
857;0.434959
858;0.474916
859;0.476846
860;0.482547
861;0.462062
862;0.453264
863;0.415888
864;0.437541
865;0.484661
866;2.681057
867;2.584545
868;2.459163
869;2.395331
870;2.512013
871;2.453353
872;2.687545
873;2.475039
874;2.082867
875;2.205868
876;2.171735
877;1.881158
878;1.917118
879;1.844728
880;1.492975
881;1.488845
882;1.647083
883;1.637906
884;1.564916
885;1.480145
886;1.395378
887;1.412005
888;1.399088
889;1.491242
890;1.376941
891;1.360365
892;1.361043
893;1.332554
894;1.293347
895;1.274141
896;1.142672
897;1.01079
898;0.978386
899;1.036123
900;1.112238
901;1.125894
902;1.039551
903;0.912995
904;1.00714
905;1.084946
906;1.116208
907;1.277724
908;1.272653
909;1.090379
910;0.976175
911;0.905081
912;0.948874
913;0.933149
914;0.642385
915;0.391047
916;1.060561
917;3.177591
918;2.524997
919;4.241674
920;4.361723
921;2.693855
922;1.32571
923;3.224795
924;2.043386
925;2.388324
926;2.710012
927;2.602494
928;2.388567
929;2.047481
930;1.61172
931;1.301111
932;1.258772
933;1.728741
934;3.993786
935;6.94517
936;10.370098
937;13.943348
938;17.263927
939;20.22155
940;21.343714
941;22.290308
942;23.374554
943;22.788301
944;23.045835
945;23.028799
946;22.561211
947;22.705042
948;24.594355
949;24.425724
950;24.883175
951;26.811157
952;27.585629
953;25.799416
954;23.253523
955;17.679041
956;0.839545
957;0.764544
958;0.685995
959;0.56277
960;0.435356
961;0.272918
962;4.880362
963;0.088572
964;0.142448
965;0.278913
966;0.303331
967;0.329826
968;0.366654
969;0.403444
970;0.461579
971;0.500171
972;0.501042
973;0.468065
974;0.462927
975;0.453065
976;1.261356
977;3.340692
978;2.786881
979;2.617142
980;2.438534
981;2.406844
982;2.473932
983;2.39397
984;2.511841
985;2.604049
986;2.444364
987;2.057273
988;2.14376
989;1.92653
990;1.804935
991;1.788139
992;1.768096
993;1.561747
994;1.446573
995;1.450714
996;1.715271
997;1.591535
998;1.581721
999;1.535623
1000;1.489197
1001;1.493183
1002;1.536935
1003;1.489839
1004;1.489869
1005;1.476761
1006;1.372219
1007;1.406646
1008;1.353066
1009;1.168338
1010;1.145641
1011;1.111186
1012;1.19521
1013;1.172836
1014;1.176871
1015;1.064631
1016;0.907359
1017;0.914121
1018;0.910624
1019;0.932819
1020;1.013182
1021;1.051185
1022;0.993642
1023;0.942314
1024;0.915881
1025;0.916555
1026;0.977789
1027;0.726655
1028;0.793829
1029;0.894011
1030;0.707186
1031;2.793778
1032;4.773628
1033;3.500971
1034;3.32742
1035;1.560367
1036;1.09299
1037;1.517859
1038;1.928489
1039;2.383757
1040;2.674183
1041;2.800159
1042;2.685416
1043;2.443977
1044;2.118602
1045;1.762206
1046;1.582472
1047;2.153206
1048;5.065936
1049;6.961734
1050;10.479709
1051;14.267316
1052;16.945349
1053;18.484352
1054;19.282999
1055;21.142603
1056;22.415319
1057;21.200304
1058;19.763449
1059;20.564663
1060;20.963385
1061;23.132919
1062;27.129112
1063;28.255766
1064;28.548246
1065;24.283001
1066;9.358747
1067;13.545097
1068;26.439892
1069;18.53677
1070;0.732847
1071;0.667909
1072;0.569356
1073;0.453149
1074;0.262481
1075;0.063689
1076;0.019559
1077;0.072916
1078;0.083071
1079;0.092256
1080;0.142304
1081;0.268365
1082;0.348669
1083;0.441499
1084;0.465258
1085;0.481822
1086;0.506954
1087;0.494711
1088;3.901287
1089;2.952756
1090;2.739127
1091;2.642324
1092;2.536939
1093;2.494832
1094;2.355236
1095;2.412068
1096;2.399152
1097;2.368986
1098;2.372994
1099;2.07571
1100;2.047492
1101;1.877745
1102;1.812509
1103;1.727404
1104;1.74108
1105;1.705078
1106;1.612257
1107;1.557741
1108;1.609162
1109;1.655888
1110;1.700201
1111;1.698973
1112;1.586821
1113;1.650439
1114;1.569731
1115;1.636008
1116;1.607918
1117;1.6748
1118;1.706661
1119;1.6292
1120;1.557184
1121;1.370662
1122;1.379043
1123;1.316555
1124;1.326592
1125;1.295598
1126;1.233541
1127;1.127386
1128;0.958416
1129;0.823984
1130;0.786724
1131;1.160591
1132;1.240078
1133;1.274214
1134;1.15483
1135;0.789728
1136;0.801816
1137;0.878032
1138;0.955252
1139;0.828127
1140;0.010962
1141;0.163128
1142;0.73622
1143;1.011082
1144;0.617332
1145;2.286245
1146;5.378804
1147;3.08397
1148;2.784357
1149;1.475259
1150;5.236425
1151;4.89869
1152;4.449973
1153;2.588647
1154;2.789447
1155;2.979606
1156;2.753165
1157;2.614404
1158;2.254132
1159;2.087264
1160;1.868475
1161;2.563158
1162;5.612588
1163;7.166476
1164;8.466282
1165;8.072983
1166;16.135647
1167;15.310326
1168;16.440115
1169;18.658518
1170;20.777836
1171;21.077734
1172;19.944921
1173;20.445057
1174;21.162428
1175;25.453461
1176;30.074354
1177;31.678749
1178;26.687332
1179;7.427361
1180;0.512261
1181;7.978922
1182;29.900177
1183;25.238604
1184;13.500302
1185;0.447652
1186;0.377346
1187;0.2678
1188;0.066515
1189;0.018778
1190;0.06956
1191;0.094962
1192;0.129864
1193;0.140398
1194;0.199354
1195;0.328646
1196;0.346174
1197;3.954391
1198;3.930118
1199;3.351926
1200;2.516644
1201;2.52259
1202;2.346007
1203;2.373858
1204;2.287882
1205;2.293979
1206;2.296152
1207;2.175089
1208;2.083618
1209;1.966558
1210;1.952413
1211;1.869185
1212;1.768214
1213;1.74998
1214;1.781341
1215;1.795759
1216;1.783345
1217;1.620825
1218;1.615469
1219;1.799887
1220;1.694093
1221;1.723106
1222;1.635718
1223;1.624597
1224;1.722389
1225;1.759487
1226;1.728591
1227;1.714511
1228;1.806694
1229;1.781103
1230;1.754511
1231;1.623509
1232;1.636694
1233;1.5326
1234;1.478538
1235;1.393439
1236;1.341727
1237;1.199473
1238;1.041018
1239;0.896149
1240;0.787778
1241;1.304823
1242;1.343387
1243;1.351909
1244;1.15509
1245;0.628327
1246;0.632125
1247;0.742311
1248;0.882088
1249;0.936906
1250;0.303017
1251;0.082394
1252;0.65214
1253;0.832262
1254;0.396498
1255;2.339862
1256;4.798876
1257;2.945084
1258;2.553888
1259;1.788827
1260;4.152782
1261;7.148993
1262;2.189016
1263;2.715238
1264;2.887088
1265;4.645155
1266;2.807417
1267;2.650903
1268;2.343668
1269;2.123972
1270;2.760249
1271;5.744276
1272;6.130127
1273;2.006667
1274;1.986558
1275;2.25915
1276;10.838639
1277;10.738787
1278;12.884395
1279;15.845028
1280;19.492603
1281;22.451351
1282;23.395235
1283;24.148813
1284;24.488562
1285;27.839359
1286;31.995537
1287;32.774124
1288;30.811356
1289;17.266014
1290;0.466908
1291;8.202434
1292;26.197563
1293;9.09504
1294;6.341159
1295;0.233765
1296;0.096568
1297;0.061909
1298;0.021608
1299;0.153595
1300;0.391611
1301;0.520533
1302;1.685127
1303;1.505893
1304;1.238331
1305;1.6692
1306;4.15223
1307;6.032342
1308;8.301989
1309;11.129096
1310;13.825996
1311;16.714058
1312;19.159418
1313;19.649561
1314;20.137775
1315;22.617949
1316;23.092375
1317;24.081139
1318;24.433418
1319;25.579023
1320;24.618921
1321;24.048618
1322;23.661415
1323;22.106731
1324;20.848255
1325;19.905088
1326;17.590563
1327;17.433233
1328;16.904339
1329;16.555355
1330;14.219401
1331;9.274324
1332;0.809583
1333;0.711172
1334;0.669001
1335;0.623919
1336;0.453435
1337;0.455874
1338;0.415174
1339;0.423121
1340;0.402286
1341;0.319879
1342;0.136758
1343;2.467659
1344;2.281461
1345;2.440662
