fid;Provincie;Gemeente;GMcode;RESregio;REScode;BronNaam;TypeBron;bron_temp;MWth;corrfactor;status;Source;X;Y;wkt;MWth_max;bron_vol;bron_cap;T_bron
1;Gelderland;Barneveld;GM0203;Foodvalley;ES09;Givaudan Nederland BV Barneveld;;;0.0;;Optie B;MT;168000;464350;POINT(168000 464350);;;;
2;Utrecht;Utrecht;GM0344;U16;ES14;Asfaltcentrale Lage Weide;BMC;;21.0;;Optie C;MT;133085;458365;POINT(133085 458365);;;;
3;Zeeland;Borsele;GM0654;Zeeland;ES24;EPZ NV Conventional Operations;Kern;;349.8;;Optie C;MT;38794;384007;POINT(38794 384007);;;;
4;Zuid-Holla;Rotterdam;GM0599;Rotterdam/;ES23;EOn Benelux NV Maasvlakte;Kolen;80;320.88;;Optie C;MT;61481;442057;POINT(61481 442057);;;;
5;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Steenfabriek Huissenswaard;Industrie;0;0.0;;Optie B;MT;196100;436150;POINT(196100 436150);;;;
6;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Energiecooperatie Greenhouse Energy;Industrie;0;0.0;;Optie B;MT;191490;436460;POINT(191490 436460);;;;
7;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Rodruza Steenfabriek de Zandberg;Industrie;0;0.0;;Optie B;MT;195162;430027;POINT(195162 430027);;;;
8;Gelderland;Lingewaard;GM1705;Arnhem/Nij;ES08;Wienerberger Steenfabriek Bemmel;Industrie;0;0.0;;Optie B;MT;191377;432158;POINT(191377 432158);;;;
9;Drenthe;Coevorden;GM0109;Drenthe;ES03;Smurfit Kappa Solid Board Coevorden;Industrie;;0.0;;Optie B;MT;246400;519750;POINT(246400 519750);3.0;;;
10;Drenthe;Coevorden;GM0109;Drenthe;ES03;EVI Abfallverwertung Laar;AVI;;47.09;;Optie B;MT;246562;518354;POINT(246562 518354);47.09;;;
11;Drenthe;Coevorden;GM0109;Drenthe;ES03;Katshaar Zuivel BV;;;0.0;;Optie B;MT;253097;520062;POINT(253097 520062);3.0;;;
12;Gelderland;Barneveld;GM0203;Foodvalley;ES09;PFW Aroma Chemicals;;;0.0;;Optie B;MT;168109;464271;POINT(168109 464271);;;;
13;Drenthe;Emmen;GM0114;Drenthe;ES03;DSM Resins BV Schoonebeek;Industrie;;15.85;;Optie B;MT;255180;523500;POINT(255180 523500);15.85;;;
14;Drenthe;Emmen;GM0114;Drenthe;ES03;Cumapol Emmen BV;Industrie;;0.0;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
15;Drenthe;Emmen;GM0114;Drenthe;ES03;DSM Advanced Polyesters Emmen BV;Industrie;;0.38;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
16;Drenthe;Emmen;GM0114;Drenthe;ES03;DSM Engineering Plastics Emmen BV;Industrie;;0.92;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
17;Drenthe;Emmen;GM0114;Drenthe;ES03;Emmtec Services BV;Gasturbine;;75.0;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
18;Drenthe;Emmen;GM0114;Drenthe;ES03;Teijin Aramid BV Emmen;Industrie;;0.0;;Optie B;MT;257552;533045;POINT(257552 533045);82.3;;;
19;Drenthe;Emmen;GM0114;Drenthe;ES03;Rademakers Gieterij BV;Industrie;;0.0;;Optie B;MT;261750;526950;POINT(261750 526950);3.0;;;
20;Drenthe;Emmen;GM0114;Drenthe;ES03;Cabot Norit Activated Carbon Klazienaveen;Industrie;;0.0;;Optie B;MT;263800;528000;POINT(263800 528000);3.0;;;
21;Drenthe;Hoogeveen;GM0118;Drenthe;ES03;Vliegveld Hoogeveen;Industrie;;0.0;;Optie B;MT;231250;527750;POINT(231250 527750);3.0;;;
22;Drenthe;Hoogeveen;GM0118;Drenthe;ES03;DOC Kaas Zuivelpark;;;0.0;;Optie B;MT;231671;525745;POINT(231671 525745);3.0;;;
23;Gelderland;Barneveld;GM0203;Foodvalley;ES09;Pluimveeverwerkingsbedrijf Jan van Ee BV;Slachthuis;;0.0;;Optie B;MT;176126;465468;POINT(176126 465468);;;;
24;Drenthe;Meppel;GM0119;Drenthe;ES03;FrieslandCampina Kievit Meppel;Industrie;;0.0;;Optie B;MT;208200;523000;POINT(208200 523000);3.0;;;
25;Drenthe;Aa en Hunze;GM1680;Drenthe;ES03;Avebe ua Gasselternijveen;Industrie;;18.25;;Optie B;MT;254450;556800;POINT(254450 556800);18.25;;;
26;Drenthe;Tynaarlo;GM1730;Drenthe;ES03;Vliegveld Luchthaven Eelde;Industrie;;0.0;;Optie B;MT;235230;571295;POINT(235230 571295);3.0;;;
27;Drenthe;Midden-Drenthe;GM1731;Drenthe;ES03;Noblesse Proteins BV;;;0.0;;Optie B;MT;230460;533980;POINT(230460 533980);3.0;;;
28;Drenthe;Midden-Drenthe;GM1731;Drenthe;ES03;Attero Noord BV;AVI;;120.12;;Optie B;MT;231073;534370;POINT(231073 534370);120.12;;;
29;Drenthe;Midden-Drenthe;GM1731;Drenthe;ES03;FrieslandCampina Domo Beilen;Industrie;;0.0;;Optie B;MT;231300;541530;POINT(231300 541530);3.0;;;
30;Flevoland;Almere;GM0034;Flevoland;ES06;Nuon HWC Almere;STEG;;0.0;;Optie B;MT;143251;488915;POINT(143251 488915);10.0;;;
31;Flevoland;Almere;GM0034;Flevoland;ES06;WKC Almere;STEG;;50.16;;Optie B;MT;143323;488954;POINT(143323 488954);50.16;;;
32;Flevoland;Almere;GM0034;Flevoland;ES06;Nuon Biomassaketel De Vaart;;;15.0;;Optie B;MT;144976;491384;POINT(144976 491384);15.0;;;
33;Flevoland;Almere;GM0034;Flevoland;ES06;Yakult Nederland BV;Industrie;;0.0;;Optie B;MT;145197;491088;POINT(145197 491088);3.0;;;
34;Gelderland;Barneveld;GM0203;Foodvalley;ES09;Stichting Mestverwerking Gelderland SMG KGBI Stroe;;;0.0;;Optie B;MT;176502;465210;POINT(176502 465210);;;;
35;Flevoland;Almere;GM0034;Flevoland;ES06;Vetsmelterij CM Bosland BV;Industrie;;0.0;;Optie B;MT;146061;491635;POINT(146061 491635);3.0;;;
36;Flevoland;Almere;GM0034;Flevoland;ES06;Groenheijden;;;0.5;;Optie B;MT;146291;493235;POINT(146291 493235);0.5;;;
37;Flevoland;Almere;GM0034;Flevoland;ES06;StortStroom BV Afvalzorg Deponie BV;;;0.0;;Optie B;MT;147370;483029;POINT(147370 483029);3.0;;;
38;Flevoland;Almere;GM0034;Flevoland;ES06;NV Afvalzorg Almere;AVI;;0.0;;Optie B;MT;148080;483155;POINT(148080 483155);3.0;;;
39;Flevoland;Zeewolde;GM0050;Flevoland;ES06;A  v d  Knijff B V;;;0.0;;Optie B;MT;154585;487561;POINT(154585 487561);3.0;;;
40;Flevoland;Zeewolde;GM0050;Flevoland;ES06;De Jong B V;;;0.23;;Optie B;MT;155926;479450;POINT(155926 479450);0.23;;;
41;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Mts Timmer;;;0.0;;Optie B;MT;160932;490168;POINT(160932 490168);3.0;;;
42;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Maatschap van Beek Kalsbeek III;;;0.0;;Optie B;MT;160997;490199;POINT(160997 490199);3.0;;;
43;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Erk Energy;;;0.0;;Optie B;MT;161373;476106;POINT(161373 476106);3.0;;;
44;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Claushuis Metaalmaatschappij BV;;;0.0;;Optie B;MT;163026;485508;POINT(163026 485508);3.0;;;
45;Groningen;Het Hogeland;GM1966;Groningen;ES01;RWE Eemshaven Holding BV;Kolen;;1332.54;;Optie C;MT;252979;607213;POINT(252979 607213);;;;
46;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Maatschap van Beek Kalsbeek II;;;0.72;;Optie B;MT;163604;488001;POINT(163604 488001);0.72;;;
47;Noord-Brab;Geertruidenberg;GM0779;West-Braba;ES28;Essent Power BV Amer;Gasturbine;;1039.5;;Optie C;MT;117446;413372;POINT(117446 413372);;;;
48;Overijssel;Zwolle;GM0193;West-Overi;ES05;Centrale Harculo;Gasturbine;;361.35;;Optie D;MT;203938;498156;POINT(203938 498156);;;;
49;Overijssel;Zwartewaterland;GM1896;West-Overi;ES05;Aardwarmtecluster KKP B.V. (ondiepe geothermie);geothermie;0;29.56;;Optie B;MT;193226;510493;POINT(193226 510492);;;;
50;Overijssel;Zwartewaterland;GM1896;West-Overi;ES05;Aardwarmtecluster KKP/Geo KKP (Genemuiden);geothermie;0;0.0;;Optie B;MT;193226;510493;POINT(193226 510492);;;;
51;Fryslân;Tytsjerksteradiel;GM0737;Friesland;ES02;SCA Hygiene Products Suameer BV;;;0.0;;Optie B;MT;196106;577690;POINT(196106 577690);3.0;;;
52;Fryslân;Tytsjerksteradiel;GM0737;Friesland;ES02;Centrale Bergum;STEG;;508.2;;Optie B;MT;197930;580516;POINT(197930 580516);508.2;;;
53;Fryslân;SÃºdwest-FryslÃ¢n;GM1900;Friesland;ES02;FrieslandCampina Workum;Industrie;;0.0;;Optie B;MT;159600;554080;POINT(159600 554080);3.0;;;
54;Fryslân;SÃºdwest-FryslÃ¢n;GM1900;Friesland;ES02;Hochwald Nederland BV;;;0.0;;Optie B;MT;163330;563820;POINT(163330 563820);3.0;;;
55;Fryslân;De Fryske Marren;GM1940;Friesland;ES02;Vreugdenhil Dairy Foods;;;0.0;;Optie B;MT;181400;551120;POINT(181400 551120);3.0;;;
56;Fryslân;De Fryske Marren;GM1940;Friesland;ES02;Jacobs Douwe Egberts;;;0.0;;Optie B;MT;182306;554412;POINT(182306 554412);3.0;;;
57;Fryslân;Waadhoeke;GM1949;Friesland;ES02;Hartman BV;;;0.0;;Optie B;MT;161651;580654;POINT(161651 580654);3.0;;;
58;Fryslân;Waadhoeke;GM1949;Friesland;ES02;Lamb Weston   Meyer VOF Klooster Lidlum;;;0.0;;Optie B;MT;163915;582995;POINT(163915 582995);3.0;;;
59;Fryslân;Waadhoeke;GM1949;Friesland;ES02;Huhtamaki Nederland BV;;;0.0;;Optie B;MT;165330;577300;POINT(165330 577300);3.0;;;
60;Fryslân;Waadhoeke;GM1949;Friesland;ES02;FrieslandCampina Dronrijp;Industrie;;0.0;;Optie B;MT;171950;578350;POINT(171950 578350);3.0;;;
61;Gelderland;Aalten;GM0197;Achterhoek;ES07;SABA Dinxperlo BV;;;0.0;;Optie B;MT;230500;430660;POINT(230500 430660);3.0;;;
62;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Arjowiggins Security BV;;;0.0;;Optie B;MT;191500;466000;POINT(191500 466000);3.0;;;
63;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Loparex BV;;;0.0;;Optie B;MT;193050;467151;POINT(193050 467151);3.0;;;
64;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Ekro BV;;;0.0;;Optie B;MT;195066;465803;POINT(195066 465803);3.0;;;
65;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Plaatijzerindustrie Apeldoorn;;;0.0;;Optie B;MT;195475;467336;POINT(195475 467336);3.0;;;
66;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Vion Apeldoorn;;;0.0;;Optie B;MT;195500;465700;POINT(195500 465700);3.0;;;
67;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;ESA BV;;;0.0;;Optie B;MT;196020;466562;POINT(196020 466562);3.0;;;
68;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Kamp Coating Apeldoorn BV;;;0.0;;Optie B;MT;196100;466400;POINT(196100 466400);3.0;;;
69;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Sonac Loenen BV;;;0.0;;Optie B;MT;199750;460200;POINT(199750 460200);3.0;;;
70;Gelderland;Apeldoorn;GM0200;Cleantech;ES12;Solidpack BV;;;0.0;;Optie B;MT;199900;460500;POINT(199900 460500);3.0;;;
71;Gelderland;Arnhem;GM0202;Arnhem/Nij;ES08;Nuon HWC Schuytgraaf;STEG;;0.0;;Optie B;MT;186213;439706;POINT(186213 439706);10.0;;;
72;Gelderland;Arnhem;GM0202;Arnhem/Nij;ES08;Titan Wood;;;0.0;;Optie B;MT;192981;442540;POINT(192981 442540);3.0;;;
73;Gelderland;Arnhem;GM0202;Arnhem/Nij;ES08;Teijin Aramid BV Arnhem;;;0.0;;Optie B;MT;193000;442000;POINT(193000 442000);3.0;;;
74;Gelderland;Arnhem;GM0202;Arnhem/Nij;ES08;De Kleef BV;;;0.0;;Optie B;MT;193118;442151;POINT(193118 442151);3.0;;;
75;Gelderland;Beuningen;GM0209;Arnhem/Nij;ES08;Interchem BV;;;0.0;;Optie B;MT;178673;429681;POINT(178673 429681);3.0;;;
76;Gelderland;Beuningen;GM0209;Arnhem/Nij;ES08;ARN BV;;0;85.0;;Optie B;MT;183067;428715;POINT(183067 428715);3.0;;;
77;Gelderland;Brummen;GM0213;Cleantech;ES12;Stork Veco;;;0.0;;Optie B;MT;200200;456300;POINT(200200 456300);3.0;;;
78;Gelderland;Brummen;GM0213;Cleantech;ES12;DS Smith Paper De Hoop Mill;Industrie;;48.75;;Optie B;MT;200743;456801;POINT(200743 456801);48.75;;;
79;Gelderland;Brummen;GM0213;Cleantech;ES12;WA Sanders Papierfabriek Coldenhove BV;;;0.0;;Optie B;MT;200800;456700;POINT(200800 456700);3.0;;;
80;Gelderland;Brummen;GM0213;Cleantech;ES12;Mayr Melnhof Eerbeek BV;;;0.0;;Optie B;MT;201330;457510;POINT(201330 457510);3.0;;;
81;Gelderland;Buren;GM0214;Fruitdelta;ES11;De Ingensche Waarden BV;;;0.0;;Optie B;MT;161736;443540;POINT(161736 443540);3.0;;;
82;Gelderland;Doesburg;GM0221;Arnhem/Nij;ES08;Gieterij Doesburg BV;;;0.0;;Optie B;MT;206112;447069;POINT(206112 447069);3.0;;;
83;Gelderland;Doetinchem;GM0222;Achterhoek;ES07;Nannoka Vulcanus Industries BV;;;0.0;;Optie B;MT;214700;444350;POINT(214700 444350);3.0;;;
84;Gelderland;Doetinchem;GM0222;Achterhoek;ES07;Papierfabriek Doetinchem BV;;;0.0;;Optie B;MT;217250;441700;POINT(217250 441700);3.0;;;
85;Gelderland;Druten;GM0225;Arnhem/Nij;ES08;Wienerberger Dakpanfabriek Narvik Deest;;;0.0;;Optie B;MT;174810;433654;POINT(174810 433654);3.0;;;
86;Gelderland;Druten;GM0225;Arnhem/Nij;ES08;Steenfabriek VOGELENSANGH;;;0.0;;Optie B;MT;174820;433550;POINT(174820 433550);3.0;;;
87;Gelderland;Duiven;GM0226;Arnhem/Nij;ES08;AVR Afvalverwerking BV Duiven;AVI;;0.0;;Optie B;MT;197134;442636;POINT(197134 442636);3.0;;;
88;Gelderland;Ede;GM0228;Foodvalley;ES09;Stichting Mestverwerking Gelderland SMG KGBI Ede;;;0.0;;Optie B;MT;169982;450431;POINT(169982 450431);3.0;;;
89;Gelderland;Ede;GM0228;Foodvalley;ES09;Duurzame energie installatie 1;BMC;;7.0;;Optie B;MT;170869;449824;POINT(170869 449824);7.0;;;
90;Gelderland;Ede;GM0228;Foodvalley;ES09;Duurzame energie installatie 1 Dwarsweg;BMC;;9.0;;Optie B;MT;170911;449823;POINT(170911 449823);9.0;;;
91;Gelderland;Ede;GM0228;Foodvalley;ES09;TANATEX Chemicals BV;;;0.0;;Optie B;MT;172680;448950;POINT(172680 448950);3.0;;;
92;Gelderland;Ede;GM0228;Foodvalley;ES09;FrieslandCampina Ede Riedel BV;Industrie;;0.0;;Optie B;MT;172850;449350;POINT(172850 449350);3.0;;;
93;Gelderland;Ede;GM0228;Foodvalley;ES09;Duurzame energie installatie 3;BMC;;9.0;;Optie B;MT;174151;451668;POINT(174151 451668);9.0;;;
94;Gelderland;Ede;GM0228;Foodvalley;ES09;Duurzame energie installatie 2;BMC;;9.0;;Optie B;MT;174257;447964;POINT(174257 447964);9.0;;;
95;Gelderland;Ede;GM0228;Foodvalley;ES09;Vika BV;;;0.0;;Optie B;MT;174830;451600;POINT(174830 451600);3.0;;;
96;Gelderland;Epe;GM0232;Cleantech;ES12;Exportslachterij J Gosschalk en Zn BV;Industrie;;0.0;;Optie B;MT;196215;484571;POINT(196215 484571);3.0;;;
97;Gelderland;Lochem;GM0262;Cleantech;ES12;FrieslandCampina Butter Lochem;Industrie;;0.0;;Optie B;MT;226100;464540;POINT(226100 464540);3.0;;;
98;Gelderland;Maasdriel;GM0263;Fruitdelta;ES11;Rodruza Steenfabriek Rossum BV;;;0.0;;Optie B;MT;151750;422810;POINT(151750 422810);3.0;;;
99;Gelderland;Nijkerk;GM0267;Foodvalley;ES09;Pluimveeslachterij Van den Bor BV;;;0.0;;Optie B;MT;160350;468480;POINT(160350 468480);3.0;;;
100;Gelderland;Nijkerk;GM0267;Foodvalley;ES09;Struik Foods Netherlands;;;0.0;;Optie B;MT;170280;467900;POINT(170280 467900);3.0;;;
101;Gelderland;Nijmegen;GM0268;Arnhem/Nij;ES08;Nijmeegsche IJzergieterij BV;;;0.0;;Optie B;MT;184127;428648;POINT(184127 428648);3.0;;;
102;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Maatschap van Beek Kalsbeek I;;;0.0;;Optie B;MT;163870;484673;POINT(163870 484673);3.0;;;
103;Flevoland;Zeewolde;GM0050;Flevoland;ES06;Onbekend Zeewolde;Gasturbine;;0.0;;Optie B;MT;164755;484329;POINT(164755 484329);6.0;;;
104;Flevoland;Zeewolde;GM0050;Flevoland;ES06;A N  van der Knaap;;;0.0;;Optie B;MT;166980;487534;POINT(166980 487534);3.0;;;
105;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;RWZI WKK Noordoostpolder  Tollebeek;BioWKK;;0.38;;Optie B;MT;175096;522165;POINT(175096 522165);0.38;;;
106;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Houtindustrie Van der Vijgh;;;0.5;;Optie B;MT;179730;522874;POINT(179730 522874);0.5;;;
107;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Stortplaats Friese pad;;;0.0;;Optie B;MT;181403;527362;POINT(181403 527362);3.0;;;
108;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Peters  Peters en De Lange;;;0.0;;Optie B;MT;184772;530450;POINT(184772 530450);3.0;;;
109;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Wouters;;;5.2;;Optie B;MT;185020;516333;POINT(185020 516333);5.2;;;
110;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;A  Baas;;;4.8;;Optie B;MT;185027;516210;POINT(185027 516210);4.8;;;
111;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Firma van der Steege Steegro;;;0.83;;Optie B;MT;185256;525366;POINT(185256 525366);0.83;;;
112;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Alblas;;;1.4;;Optie B;MT;186687;528581;POINT(186687 528581);1.4;;;
113;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Aardwarmte Combinatie Luttelgeest B V;Geothermie;;20.24;;Optie A;MT;187512;529091;POINT(187512 529091);20.24;;;
114;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Leo Hoogweg BV;;;0.0;;Optie B;MT;187950;528503;POINT(187950 528503);3.0;;;
115;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Hoogweg Aardwarmte B V;Geothermie;;29.14;;Optie B;MT;188299;527979;POINT(188299 527979);29.14;;;
116;Flevoland;Noordoostpolder;GM0171;Flevoland;ES06;Vof Schwering;;;0.5;;Optie B;MT;189396;524611;POINT(189396 524611);0.5;;;
117;Flevoland;Dronten;GM0303;Flevoland;ES06;De Torenhoeve Biogas BV;;;0.75;;Optie B;MT;168932;497927;POINT(168932 497927);0.75;;;
118;Flevoland;Dronten;GM0303;Flevoland;ES06;Maatschap van Nieuwenhuyzen;;;0.0;;Optie B;MT;174310;497292;POINT(174310 497292);3.0;;;
119;Flevoland;Dronten;GM0303;Flevoland;ES06;RWZI WKK Dronten;BioWKK;;0.21;;Optie B;MT;177426;505499;POINT(177426 505499);0.21;;;
120;Flevoland;Dronten;GM0303;Flevoland;ES06;Vof Buitelaar;;;0.0;;Optie B;MT;182030;501273;POINT(182030 501273);3.0;;;
121;Flevoland;Lelystad;GM0995;Flevoland;ES06;Farm Dairy BV;Industrie;;0.0;;Optie B;MT;158900;501300;POINT(158900 501300);3.0;;;
122;Flevoland;Lelystad;GM0995;Flevoland;ES06;Bio Centrale Nuon Lelystad;BMC;;0.0;;Optie B;MT;160558;500726;POINT(160558 500726);6.0;;;
123;Flevoland;Lelystad;GM0995;Flevoland;ES06;Ennatuurlijk Energiecentrale Warande 1;BMC;;0.0;;Optie B;MT;160558;500726;POINT(160558 500726);6.0;;;
124;Flevoland;Lelystad;GM0995;Flevoland;ES06;N V  NUON Energy;;;6.0;;Optie B;MT;160785;500365;POINT(160785 500365);6.0;;;
125;Flevoland;Lelystad;GM0995;Flevoland;ES06;Ennatuurlijk Energiecentrale Warande 2;BMC;;0.0;;Optie B;MT;161984;499951;POINT(161984 499951);3.0;;;
126;Flevoland;Lelystad;GM0995;Flevoland;ES06;N V  Sportbedrijf  De Koploper;;;0.5;;Optie B;MT;162343;503534;POINT(162343 503534);0.5;;;
127;Flevoland;Lelystad;GM0995;Flevoland;ES06;Orgaworld B V;;;0.0;;Optie B;MT;163598;507748;POINT(163598 507748);3.0;;;
128;Flevoland;Lelystad;GM0995;Flevoland;ES06;Vliegveld Lelystad;Industrie;;0.0;;Optie B;MT;163750;496250;POINT(163750 496250);3.0;;;
129;Flevoland;Lelystad;GM0995;Flevoland;ES06;McCain Foods Holland B V;;;0.0;;Optie B;MT;164370;505842;POINT(164370 505842);3.0;;;
130;Flevoland;Lelystad;GM0995;Flevoland;ES06;Maxima centrale;STEG;;478.5;;Optie B;MT;164694;509969;POINT(164694 509969);478.5;;;
131;Flevoland;Lelystad;GM0995;Flevoland;ES06;Stichting Dienst Landbouwkundig Onderzoek;;;0.12;;Optie B;MT;165717;505694;POINT(165717 505694);0.12;;;
132;Flevoland;Lelystad;GM0995;Flevoland;ES06;M A  Siebenga;;;0.0;;Optie B;MT;166391;510043;POINT(166391 510043);3.0;;;
133;Fryslân;Achtkarspelen;GM0059;Friesland;ES02;AsfaltNu Asfalt/ Productie Kootstertille;Industrie;;;;Optie B;MT;201866;580109;POINT(201866 580109);3.0;;;
134;Fryslân;Achtkarspelen;GM0059;Friesland;ES02;Gasunie Mengstation Kootstertille Fr;;;0.0;;Optie B;MT;202148;580437;POINT(202148 580437);3.0;;;
135;Fryslân;Achtkarspelen;GM0059;Friesland;ES02;HaiTsma Beton - Kootstertille;;0;0.0;;Optie B;MT;202640;581251;POINT(202640 581251);3.0;;;
136;Fryslân;Achtkarspelen;GM0059;Friesland;ES02;Enitor Primo - Buitenpost;;0;0.0;;Optie B;MT;205578;585091;POINT(205578 585091);3.0;;;
137;Fryslân;Achtkarspelen;GM0059;Friesland;ES02;Avek - Schuimfabriek Surhuisterveen;;0;0.0;;Optie B;MT;207764;577249;POINT(207764 577249);3.0;;;
138;Fryslân;Achtkarspelen;GM0059;Friesland;ES02;FrieslandCampina Cheese Gerkesklooster;Industrie;;0.0;;Optie B;MT;209300;583850;POINT(209300 583850);3.0;;;
139;Fryslân;Harlingen;GM0072;Friesland;ES02;Reststoffen Energie Centrale REC;;;0.0;;Optie B;MT;157800;578200;POINT(157800 578200);3.0;;;
140;Fryslân;Harlingen;GM0072;Friesland;ES02;Sonac BV Harlingen;;;0.0;;Optie B;MT;158248;577032;POINT(158248 577032);3.0;;;
141;Fryslân;Harlingen;GM0072;Friesland;ES02;Flexoplast;;;0.0;;Optie B;MT;158330;576500;POINT(158330 576500);3.0;;;
142;Fryslân;Heerenveen;GM0074;Friesland;ES02;BASF Nederland BV Nijehaske;;;0.0;;Optie B;MT;188750;553750;POINT(188750 553750);3.0;;;
143;Fryslân;Heerenveen;GM0074;Friesland;ES02;Gasunie Compressorstation Oldeboorn Fr;;;0.0;;Optie B;MT;189021;563517;POINT(189021 563517);3.0;;;
144;Fryslân;Heerenveen;GM0074;Friesland;ES02;Slibontwateringsinstallatie   RWZI Heerenveen;;;0.0;;Optie B;MT;189070;553727;POINT(189070 553727);3.0;;;
145;Fryslân;Heerenveen;GM0074;Friesland;ES02;Romi Smilfood BV Heerenveen;;;0.0;;Optie B;MT;193000;549500;POINT(193000 549500);3.0;;;
146;Fryslân;Leeuwarden;GM0080;Friesland;ES02;Geothermie bron;Geothermie;;8.0;;Optie A;MT;179796;577402;POINT(179796 577402);8.0;;;
147;Fryslân;Leeuwarden;GM0080;Friesland;ES02;Nederlandse Onttinningsfabriek BV;;;0.0;;Optie B;MT;180500;578200;POINT(180500 578200);3.0;;;
148;Fryslân;Leeuwarden;GM0080;Friesland;ES02;FrieslandCampina Leeuwarden;BioWKK;;6.0;;Optie B;MT;183850;579150;POINT(183850 579150);6.0;;;
149;Fryslân;Weststellingwerf;GM0098;Friesland;ES02;FrieslandCampina Cheese Wolvega;Industrie;;0.0;;Optie B;MT;195790;544570;POINT(195790 544570);3.0;;;
150;Fryslân;Tytsjerksteradiel;GM0737;Friesland;ES02;Sonac Burgum BV;;;0.0;;Optie B;MT;195412;577315;POINT(195412 577315);3.0;;;
151;Gelderland;Nijmegen;GM0268;Arnhem/Nij;ES08;UMC St Radboud en Radboud Universiteit Nijmegen;;;0.0;;Optie B;MT;187976;425797;POINT(187976 425797);3.0;;;
152;Gelderland;Putten;GM0273;Noord-Velu;ES10;Stichting Mestverwerking Gelderland SMG KGBI Putten;;;0.0;;Optie B;MT;165512;475595;POINT(165512 475595);3.0;;;
153;Gelderland;Renkum;GM0274;Arnhem/Nij;ES08;Norske Skog Parenco BV;;;0.0;;Optie B;MT;178450;442450;POINT(178450 442450);3.0;;;
154;Gelderland;Rheden;GM0275;Arnhem/Nij;ES08;Verzinkerij Dieren BV;;;0.0;;Optie B;MT;204650;451960;POINT(204650 451960);3.0;;;
155;Gelderland;Scherpenzeel;GM0279;Foodvalley;ES09;Modiform;Industrie;;;;Optie B;MT;160915;455250;POINT(160915 455250);3.0;;;
156;Gelderland;Scherpenzeel;GM0279;Foodvalley;ES09;Anox BV;Industrie;;0.0;;Optie B;MT;161100;455000;POINT(161100 455000);3.0;;;
157;Gelderland;Tiel;GM0281;Fruitdelta;ES11;PPG Coatings;Industrie;;0.0;;Optie B;MT;156750;432750;POINT(156750 432750);3.0;;;
158;Gelderland;Tiel;GM0281;Fruitdelta;ES11;Wienerberger Steenfabriek Zennewijnen;;;0.0;;Optie B;MT;157100;430620;POINT(157100 430620);3.0;;;
159;Gelderland;Tiel;GM0281;Fruitdelta;ES11;GMB Slibverwerking Tiel BV;;;0.0;;Optie B;MT;158236;436521;POINT(158236 436521);3.0;;;
160;Gelderland;Voorst;GM0285;Cleantech;ES12;Vliegveld Teuge;Industrie;;0.0;;Optie B;MT;200750;472750;POINT(200750 472750);3.0;;;
161;Gelderland;Westervoort;GM0293;Arnhem/Nij;ES08;Nuon HWC Westervoort;STEG;;0.0;;Optie B;MT;195956;441103;POINT(195956 441103);10.0;;;
162;Gelderland;Winterswijk;GM0294;Achterhoek;ES07;Steenfabriek De Vlijt BV;;;0.0;;Optie B;MT;244590;442300;POINT(244590 442300);3.0;;;
163;Gelderland;Winterswijk;GM0294;Achterhoek;ES07;Winterswijksche Steen  en Kalkgroeve Ankerpoort BV;;;0.0;;Optie B;MT;250500;442990;POINT(250500 442990);3.0;;;
164;Gelderland;Zaltbommel;GM0297;Fruitdelta;ES11;Steenfabriek De Rijswaard BV;;;0.0;;Optie B;MT;138150;420050;POINT(138150 420050);3.0;;;
